Women Suffering from Fistula,,,,,,,,,,
,1Percentage of ever married women aged 15-64 years suffering from fistula,,,,,How did the problem start,,,Received Treatment,Number of ever married women suffering Fistula
inactive,2.6,2,0.4,0.2,"14,017",83.6,14,2.4,53.1,366
Disability,,,,,,,,,,
With Disability,2.6,2,0.3,0.3,"20,969",82.8,15.7,1.5,46.6,553
Without Disability,6.4,4.9,0.8,0.7,"1,429",82.9,12.2,4.9,62.1,91
Wealth Quantiles,,,,,,,,,,
Poorest ,3.7,2.5,0.5,0.7,"4,649",85.4,13.7,0.9,38.9,173
Poorer,3.1,2.4,0.4,0.3,"4,450",81.9,15.1,3.1,47.4,136
Middle,2.9,2.4,0.3,0.2,"4,435",83.5,14.5,2,52.3,128
Richer,2.4,1.9,0.3,0.2,"4,411",85.9,11.6,2.6,52.1,105
Richest,2.3,1.7,0.3,0.3,"4,453",75.9,22.6,1.5,59.5,103
Districts,,,,,,,,,,
Bahawalpur,1.2,0.7,0.1,0.3,758,90,0,10,40.1,9
Bahawalnagar,2.8,1.5,0.6,0.7,579,69.4,27.5,3.1,51.1,16
RY Khan,2.9,2.1,0.5,0.2,915,67.1,32.9,0,11.8,26
DG Khan,2.5,1.9,0.6,0,605,92,8,0,46.3,15
Layyah,2,1.2,0.7,0.1,415,56.4,25.7,18,56.4,8
Muzaffargarh,6.1,2.9,1.4,1.7,893,87.8,9.5,2.7,63.6,54
Rajanpur,1.9,1.7,0,0.2,262,95.4,4.6,0,27.1,5
Faisalabad,1.1,0.7,0,0.4,"1,781",100,0,0,10.7,19
Chiniot,1.4,0.7,0.5,0.2,295,61.3,38.7,0,12.6,4
Jhang,15.1,10.7,1.4,3.1,502,90.2,7.9,1.9,47.5,76
TT Singh,6.7,5.8,0.6,0.4,480,79.3,20.7,0,32.1,32
Gujranwala,8.3,7.4,0.2,0.7,981,88.3,11.7,0,66.7,82
Gujrat,1.8,1.5,0.3,0,632,83.9,9,7.1,31.4,12
Hafizabad,2.9,2.8,0,0.1,202,64.8,24.9,10.3,42.9,6
Mandi Bahauddin,4.7,3.9,0.3,0.4,313,91,5.9,3.1,43.6,15
Narowal,1.6,0.9,0.7,0,322,57.8,42.2,0,7.1,5
Sialkot,7.3,6.5,0.7,0.2,678,74.6,25.4,0,72.9,50
Lahore,1.6,0.9,0.7,0.1,"2,578",50.2,49.8,0,17.1,42
Kasur,3.4,3.1,0,0.3,604,95.6,4.4,0,42.5,21
Nankana Sahib,1.4,1,0.2,0.1,243,100,0,0,37.7,3
Sheikhupura,1.4,1.1,0,0.3,585,48,52,0,49.7,8
Multan,0.3,0.3,0,0,946,47,53,0,100,2
Khanewal,0.1,0.1,0,0,800,100,0,0,0,1
Lodhran,2.7,2.7,0,0,283,96.3,3.7,0,56.1,8
Vehari,1.9,1.9,0,0,591,63.4,19.9,16.7,35.2,11
Rawalpindi,2,1.5,0.2,0.3,"1,185",100,0,0,81.8,24
Attock,1.2,1.2,0,0,353,93.7,0,6.3,6.3,4
Chakwal,3.2,3.2,0,0,321,90.3,4.9,4.7,76.3,10
Jhelum,2.6,0.8,0.2,1.6,232,89.4,10.6,0,78.2,6
Sahiwal,1.2,1.2,0,0,429,100,0,0,36.9,5
Okara,0.3,0.2,0.1,0,630,25.7,74.3,0,25.7,2
Pakpattan,4.2,3.1,0.4,0.7,322,92.2,4.6,3.2,37.7,13
Sargodha,2.3,2.1,0,0.1,732,93,0,7,46.3,17
Bhakkar,3.5,3.2,0.1,0.2,354,100,0,0,47.2,12
Khushab,6,3.4,2.3,0.3,262,88.5,8,3.4,71.1,16
Mianwali,1.4,0.8,0.5,0.1,335,90.6,9.4,0,61.9,5
Punjab,2.9,2.2,0.4,0.3,"22,398",82.8,15.2,1.9,48.8,644
1Proportion of ever married women aged 15-64 years suffering from fistula,,,,,,,,,,
1DHS,,,,,,,,,,
Section  3 -Marriage and Reproductive Health- Q. 327,,,,,,,,,,
"Computation Method:
The numerator is the number of ever married women (15-64 years old) who are currently suffering from fistula. The
denominator is the total number of ever married women. This figure will be muliplied by a 100.

Dribbling of urine: # of ever married women with symptom 1 (Q 327 Code 1) divided by # of ever married women suffering from fistula (Q 327 code 3) X 100

Stool coming out of the vagina: # of ever married women with symptom 2 (Q 327 Code2) divided by # of ever married women suffering from fistula (Q 327 code 3) X 100
Both dribbling or stool coming out: Q327 code 3
Reasons for the problem: Denominator is number of ever married women who have fistula 
After childbirth: Q327A code 1
After rape/sexual assault: Q327A code 2
Others : Q327A code 6
# of women who received treatment: Q327B code 1",,,,,,,,,,
