Seeking Help against Violence														
			Seeking Help against Violence											
Sialkot	10.4	923	4.3	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	5.4	96
Lahore	5.8	"3,371"	3.7	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.1	196
Kasur	5.0	782	0.0	0.0	0.0	4.9	0.0	0.0	0.0	0.0	0.0	0.0	4.9	39
Nankana Sahib	6.0	314	2.1	1.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7	19
Sheikhupura	6.9	821	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57
Multan	7.6	"1,202"	0.0	1.2	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	1.8	91
Khanewal	9.9	977	0.9	0.0	0.0	0.0	1.3	0.0	0.0	0.0	1.3	0.0	3.5	96
Lodhran	8.8	357	0.9	1.0	0.0	0.6	0.0	0.0	0.6	0.0	0.0	0.0	2.5	31
Vehari	10.2	766	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.6	78
Rawalpindi	21.9	"1,505"	0.0	0.6	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.6	0.9	329
Attock	3.4	471	5.5	6.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.1	16
Chakwal	7.8	408	4.0	3.1	0.0	2.8	0.9	0.0	3.1	0.0	0.0	0.0	5.1	32
Jhelum	14.2	316	0.0	2.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	3.2	45
Sahiwal	8.0	561	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	45
Okara	12.9	801	4.1	2.8	0.0	0.0	2.5	0.0	1.3	0.0	0.0	0.0	7.3	103
Pakpattan	11.4	395	1.7	1.8	0.0	0.0	0.9	0.0	1.8	0.0	0.0	0.0	3.6	45
Sargodha	5.3	941	0.0	1.6	0.0	0.0	0.0	0.0	2.5	0.0	0.0	3.0	7.1	50
Bhakkar	7.5	451	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	34
Khushab	12.4	353	0.5	4.6	0.0	0.0	0.5	0.0	0.0	0.0	1.0	0.0	5.5	44
Mianwali	8.7	441	1.1	0.0	0.0	0.0	0.0	0.0	2.1	0.0	0.0	0.0	3.2	39
Punjab	10.1	"29,020"	1.9	1.4	0.1	0.3	0.8	0.1	0.6	0.0	0.1	0.2	4.1	"2,923"
"Coping/redressal mechanisms adopted, e.g. report to authorities or confiding in family etc."														
"Coping methods:  i) Speak to someone Sum of [Q 1703 codes B-X ]+[ Q1803 codes B-X ]
ii) Receive help: Sum of [Q 1704 codes B-X ]+[ Q1804 codes B-X ]
iii) seek help: Sum of [Q 1705 codes  ] + [Q 1805 code 1]"														
"Computation Method                                                                                                                                                                                                              
Number of women (aged 15 -64 years) who experience violence and adopted coping mechanisms like speaking to someone, receiving help and seeking help, in the previous 12 months divided by the Total number of women aged 15-64 who have experienced physical or sexual violence in the last 12 months multiplied by 100                                                                   "														
														
"Formula: Column 1
 Number of women (aged 15 -64 years) who sought help from police (Q1705Aa code 1 or Q1805Aa code 1)
----------------------------------------------------------   X 100
 Total number of  women aged 15-64 who have experienced physical or sexual violence(Q1211 code 1+ Q1212 code 1+ Q14122 code 1+ Q1423 code 1)
"														
														
"Formula: Column 2
 Number of  women (aged 15 -64 years) who sought help from Hospital or health center  (Q1705Ab code 1 or Q1805Ab code 1)
----------------------------------------------------------   X 100
 Total number of  women aged 15-64 who have experienced physical or sexual violence(Q1211 code 1+ Q1212 code 1+ Q14122 code 1+ Q1423 code 1)

"														
														
"Formula: Column 3
 Number of women (aged 15 -64 years) who sought help from social services  (Q1705Ac code 1 or Q1805Ac code 1)
----------------------------------------------------------   X 100
Total number of  women aged 15-64 who have experienced physical or sexual violence(Q1211 code 1+ Q1212 code 1+ Q14122 code 1+ Q1423 code 1)

"														
														
"Formula: Column 4
 Number of  women (aged 15 -64 years) who sought help from legal advice center  (Q1705Ad code 1 or Q1805Ad code 1)
----------------------------------------------------------   X 100
Total number of  women aged 15-64 who have experienced physical or sexual violence(Q1211 code 1+ Q1212 code 1+ Q14122 code 1+ Q1423 code 1)

"														
														
"Formula: Column 5
 Number of  women (aged 15 -64 years) who sought help from court (Q1705Ae code 1 or Q1805Ae code 1)
----------------------------------------------------------   X 100
 Total number of  women aged 15-64 who have experienced physical or sexual violence(Q1211 code 1+ Q1212 code 1+ Q14122 code 1+ Q1423 code 1)

"														
														
"Formula: Column 6
 Number of  women (aged 15 -64 years) who sought help from shelter (Q1705Af code 1 or Q1805Af code 1)
----------------------------------------------------------   X 100
Total number of  women aged 15-64 who have experienced physical or sexual violence(Q1211 code 1+ Q1212 code 1+ Q14122 code 1+ Q1423 code 1)

"														
														
"Formula: Column 7
 Number of women (aged 15 -64 years) who sought help from local leader  (Q1705Ag code 1 or Q1805Ag code 1)
----------------------------------------------------------   X 100
 Total number of  women aged 15-64 who have experienced physical or sexual violence(Q1211 code 1+ Q1212 code 1+ Q14122 code 1+ Q1423 code 1)

"														
														
"Formula: Column 8
 Number of women (aged 15 -64 years) who sought help from women's organization (Q1705Ah code 1 or Q1805Ah code 1)
----------------------------------------------------------   X 100
 Total number of  women aged 15-64 who have experienced physical or sexual violence(Q1211 code 1+ Q1212 code 1+ Q14122 code 1+ Q1423 code 1)

"														
														
"Formula: Column 9
 Number of women (aged 15 -64 years) who sought help from religious leader (Q1705Ai code 1 orQ1805Ai code 1)
----------------------------------------------------------   X 100
 Total number of  women aged 15-64 who have experienced physical or sexual violence(Q1211 code 1+ Q1212 code 1+ Q14122 code 1+ Q1423 code 1)
"														
														
"Formula: Column 10
 Number of  women (aged 15 -64 years) who sought help from anywhere else (Q1705Ax code 1 or Q1805Ax code 1)
----------------------------------------------------------   X 100
 Total number of  women aged 15-64 who have experienced physical or sexual violence(Q1211 code 1+ Q1212 code 1+ Q14122 code 1+ Q1423 code 1)

"														
														
"Formula: Column 11
 Number of  women (aged 15 -64 years) who sought help  (Q1705Aa-x code 1 or Q1805Aa-x code 1)
----------------------------------------------------------   X 100
 Total number of  women aged 15-64 who have experienced physical or sexual violence(Q1211 code 1+ Q1212 code 1+ Q14122 code 1+ Q1423 code 1)

"														
														
"Formula: Column 12
i) Number of women (aged 15 -64 years) who experience physical or sexual violence(Q1207B(a-i) code 1, 1208B(a-c) code 1 , 1401B(a-e) code 1, 1404 code 1, 1410B (a-d) code 1
----------------------------------------------------------   X 100
 Total number of women aged 15-64 
"														
